# key<TAB>en<TAB>ja<TAB>ko — zh comes from module TSVs; missing/untranslated keys fall back to zh.
settings_language	Language	言語	언어
setcompat_intro	Base URL and paths are configured separately; only highly compatible fields are sent by default.	Base URLとパスは別々に設定します。デフォルトでは互換性の高いフィールドのみ送信します。	Base URL과 경로는 별도로 구성하며, 기본적으로 호환성이 높은 필드만 전송합니다.
setcompat_legacy_model_warning	This legacy model will be retired on 2026-07-24. Please migrate to deepseek-v4-flash or deepseek-v4-pro.	この旧モデルは2026-07-24に停止します。deepseek-v4-flashまたはdeepseek-v4-proへ移行してください。	이 구형 모델은 2026-07-24에 중단됩니다. deepseek-v4-flash 또는 deepseek-v4-pro로 마이그레이션하세요.
setcompat_max_tokens_field_hint	max_tokens or max_completion_tokens	max_tokens または max_completion_tokens	max_tokens 또는 max_completion_tokens
setcompat_max_tokens_field_label	Output length field	出力長フィールド	출력 길이 필드
setcompat_models_path_label	Model list path	モデル一覧パス	모델 목록 경로
setcompat_supports_model_listing	Enable model list endpoint	モデル一覧APIを有効化	모델 목록 API 활성화
setcompat_supports_reasoning	Enable reasoning field	reasoningフィールドを有効化	reasoning 필드 활성화
setcompat_supports_tools	Enable tools field	toolsフィールドを有効化	tools 필드 활성화
setcompat_supports_vision	Enable image messages	画像メッセージを有効化	이미지 메시지 활성화
setcompat_title	Advanced settings	詳細設定	고급 설정
setcompat_top_k	Send top_k	top_kを送信	top_k 전송
setpers_cancel	Cancel	キャンセル	취소
setpers_delete_cd	Delete	削除	삭제
setpers_desc_label	Description	説明	설명
setpers_edit_cd	Edit	編集	편집
setpers_edit_title	Edit persona	ペルソナを編集	페르소나 편집
setpers_empty	No personas yet. Create one to define your identity (used for the {{user}} name and description).	ペルソナがありません。作成してあなたの身份（{{user}}の名前と説明）を設定しましょう。	페르소나가 없습니다. 만들어 당신의 신분({{user}} 이름과 설명)을 설정하세요.
setpers_name_label	Name	名前	이름
setpers_new_title	New persona	新規ペルソナ	새 페르소나
setpers_save	Save	保存	저장
setpers_title	Persona	ペルソナ	페르소나
setsec_add_title	Add secret	シークレットを追加	시크릿 추가
setsec_cancel	Cancel	キャンセル	취소
setsec_delete_cd	Delete	削除	삭제
setsec_empty	No saved secrets.	保存済みのシークレットはありません。	저장된 시크릿이 없습니다.
setsec_key_label	Key	キー	키
setsec_save	Save	保存	저장
setsec_title	Secrets	シークレット	시크릿
setsec_value_label	Value	値	값
setupd_check_failed	Update check failed	更新の確認に失敗しました	업데이트 확인 실패
setupd_check_now	Check for updates	更新を確認	업데이트 확인
setupd_checking	Checking for updates...	更新を確認中…	업데이트 확인 중…
setupd_download	Download update	更新をダウンロード	업데이트 다운로드
setupd_downloading	Downloading... %1$d%%	ダウンロード中… %1$d%%	다운로드 중... %1$d%%
setupd_new_version	New version v%1$s available	新しいバージョンv%1$s	새 버전 v%1$s
setupd_redownload	Re-download update	更新を再ダウンロード	업데이트 다시 다운로드
setupd_retry	Retry	再試行	재시도
setupd_up_to_date	Up to date	最新です	최신 버전입니다
setcomp_import	Import	インポート	가져오기
provctl_switched_to	Switched to "%1$s".	「%1$s」に切り替えました。	"%1$s"(으)로 전환했습니다.
provctl_load_failed	Failed to load provider config: %1$s	プロバイダー設定の読み込みに失敗しました：%1$s	공급자 구성 로드 실패: %1$s
provctl_custom_config_display_name	Custom config	カスタム設定	사용자 지정 구성
provctl_created	Created custom config "%1$s".	カスタム設定「%1$s」を作成しました。	사용자 지정 구성 "%1$s"을(를) 만들었습니다.
provctl_create_failed	Failed to create custom config: %1$s	カスタム設定の作成に失敗しました：%1$s	사용자 지정 구성 생성 실패: %1$s
provctl_deleted	Custom config deleted.	カスタム設定を削除しました。	사용자 지정 구성을 삭제했습니다.
provctl_delete_failed	Failed to delete custom config: %1$s	カスタム設定の削除に失敗しました：%1$s	사용자 지정 구성 삭제 실패: %1$s
provctl_advanced_config_invalid	Advanced config format is invalid	詳細設定の形式が正しくありません	고급 구성 형식이 잘못되었습니다
provctl_test_failed	Connection test failed: %1$s	接続テストに失敗しました：%1$s	연결 테스트 실패: %1$s
provctl_saved	Model service config saved.	モデルサービス設定を保存しました。	모델 서비스 구성을 저장했습니다.
provctl_save_failed	Failed to save provider config: %1$s	プロバイダー設定の保存に失敗しました：%1$s	공급자 구성 저장 실패: %1$s
provctl_label_extra_headers	Extra headers	追加Headers	추가 헤더
provctl_label_extra_body	Extra body	追加リクエストボディ	추가 요청 본문
provctl_must_be_json_object	%1$s must be a valid JSON object	%1$sは有効なJSONオブジェクトである必要があります	%1$s은(는) 유효한 JSON 개체여야 합니다
provctl_header_must_be_string	Extra header "%1$s" must be a string	追加Header「%1$s」は文字列である必要があります	추가 헤더 "%1$s"은(는) 문자열이어야 합니다
provctl_max_tokens_field_invalid	The output length field must be max_tokens or max_completion_tokens	出力長フィールドはmax_tokensまたはmax_completion_tokensのみです	출력 길이 필드는 max_tokens 또는 max_completion_tokens만 가능합니다
presetctl_load_failed	Failed to load preset: %1$s	プリセットの読み込みに失敗しました：%1$s	프리셋 로드 실패: %1$s
presetctl_saved	Preset "%1$s" saved.	プリセット「%1$s」を保存しました。	프리셋 "%1$s"을(를) 저장했습니다.
presetctl_save_failed	Failed to save preset: %1$s	プリセットの保存に失敗しました：%1$s	프리셋 저장 실패: %1$s
presetctl_selected	Switched to preset "%1$s".	プリセット「%1$s」に切り替えました。	프리셋 "%1$s"(으)로 전환했습니다.
presetctl_select_failed	Failed to switch preset: %1$s	プリセットの切り替えに失敗しました：%1$s	프리셋 전환 실패: %1$s
presetctl_duplicate_id	A preset named "%1$s" already exists in this category	同カテゴリにプリセット「%1$s」が既に存在します	이 카테고리에 프리셋 "%1$s"이(가) 이미 있습니다
presetctl_saved_as	Preset saved as "%1$s".	プリセットを「%1$s」として保存しました。	프리셋을 "%1$s"(으)로 저장했습니다.
presetctl_save_as_failed	Save-as failed: %1$s	別名保存に失敗しました：%1$s	다른 이름으로 저장 실패: %1$s
presetctl_same_name	The new name is the same as the current one	新しい名前が元の名前と同じです	새 이름이 기존 이름과 같습니다
presetctl_renamed	Preset renamed to "%1$s".	プリセットの名前を「%1$s」に変更しました。	프리셋 이름을 "%1$s"(으)로 변경했습니다.
presetctl_rename_failed	Rename failed: %1$s	名前の変更に失敗しました：%1$s	이름 변경 실패: %1$s
presetctl_create_export_file_failed	Could not create the export file	エクスポートファイルを作成できませんでした	내보내기 파일을 만들 수 없습니다
presetctl_exported	Preset "%1$s" exported.	プリセット「%1$s」をエクスポートしました。	프리셋 "%1$s"을(를) 내보냈습니다.
presetctl_export_failed	Failed to export preset: %1$s	プリセットのエクスポートに失敗しました：%1$s	프리셋 내보내기 실패: %1$s
presetctl_deleted	Preset deleted.	プリセットを削除しました。	프리셋을 삭제했습니다.
presetctl_delete_failed	Failed to delete preset: %1$s	プリセットの削除に失敗しました：%1$s	프리셋 삭제 실패: %1$s
presetctl_read_file_failed	Could not read the selected file	選択したファイルを読み取れませんでした	선택한 파일을 읽을 수 없습니다
presetctl_imported	Preset "%1$s" imported and activated.	プリセット「%1$s」をインポートして有効にしました。	프리셋 "%1$s"을(를) 가져와 활성화했습니다.
presetctl_imported_with_warnings	Preset "%1$s" imported and activated; %2$s.	プリセット「%1$s」をインポートして有効にしました；%2$s。	프리셋 "%1$s"을(를) 가져와 활성화했습니다. %2$s.
presetctl_import_failed	Failed to import preset: %1$s	プリセットのインポートに失敗しました：%1$s	프리셋 가져오기 실패: %1$s
persctl_created	Persona "%1$s" created.	ペルソナ「%1$s」を作成しました。	페르소나 "%1$s"을(를) 만들었습니다.
persctl_create_failed	Failed to create persona: %1$s	ペルソナの作成に失敗しました：%1$s	페르소나 생성 실패: %1$s
persctl_not_found	Persona not found: %1$s	ペルソナが見つかりません：%1$s	페르소나를 찾을 수 없음: %1$s
persctl_updated	Persona updated.	ペルソナを更新しました。	페르소나를 업데이트했습니다.
persctl_update_failed	Failed to update persona: %1$s	ペルソナの更新に失敗しました：%1$s	페르소나 업데이트 실패: %1$s
persctl_deleted	Persona deleted.	ペルソナを削除しました。	페르소나를 삭제했습니다.
persctl_delete_failed	Failed to delete persona: %1$s	ペルソナの削除に失敗しました：%1$s	페르소나 삭제 실패: %1$s
persctl_secret_saved	Secret "%1$s" saved.	シークレット「%1$s」を保存しました。	시크릿 "%1$s"을(를) 저장했습니다.
persctl_secret_save_failed	Failed to save secret: %1$s	シークレットの保存に失敗しました：%1$s	시크릿 저장 실패: %1$s
persctl_secret_deleted	Secret "%1$s" deleted.	シークレット「%1$s」を削除しました。	시크릿 "%1$s"을(를) 삭제했습니다.
persctl_secret_delete_failed	Failed to delete secret: %1$s	シークレットの削除に失敗しました：%1$s	시크릿 삭제 실패: %1$s
imgctl_comfy_test_failed	ComfyUI connection test failed: %1$s	ComfyUIの接続テストに失敗しました：%1$s	ComfyUI 연결 테스트 실패: %1$s
imgctl_workflow_parse_failed	Could not parse the workflow JSON; nothing was saved. Paste the JSON exported via ComfyUI's "Save (API Format)".	ワークフローJSONを解析できず、保存していません。ComfyUIの「保存（API形式）」でエクスポートしたJSONを貼り付けてください。	워크플로 JSON을 구문 분석할 수 없어 저장하지 않았습니다. ComfyUI의 "저장(API 형식)"으로 내보낸 JSON을 붙여넣으세요.
imgctl_comfy_saved	Image model config saved.	生図モデルの設定を保存しました。	이미지 모델 구성을 저장했습니다.
imgctl_comfy_save_failed	Failed to save image model config: %1$s	生図モデル設定の保存に失敗しました：%1$s	이미지 모델 구성 저장 실패: %1$s
imgctl_novelai_test_failed	NovelAI test failed: %1$s	NovelAIのテストに失敗しました：%1$s	NovelAI 테스트 실패: %1$s
imgctl_novelai_saved	NovelAI image gen config saved.	NovelAI生図の設定を保存しました。	NovelAI 이미지 생성 구성을 저장했습니다.
imgctl_novelai_save_failed	Failed to save NovelAI image gen config: %1$s	NovelAI生図設定の保存に失敗しました：%1$s	NovelAI 이미지 생성 구성 저장 실패: %1$s
bkpctl_open_target_failed	Unable to open backup target	バックアップ先を開けません	백업 대상을 열 수 없습니다
bkpctl_exported	Backup exported.	バックアップをエクスポートしました。	백업을 내보냈습니다.
bkpctl_export_failed	Failed to export backup: %1$s	バックアップのエクスポートに失敗しました：%1$s	백업 내보내기 실패: %1$s
bkpctl_imported	Backup imported. Restart the app to see the changes.	バックアップをインポートしました。変更を反映するにはアプリを再起動してください。	백업을 가져왔습니다. 변경 사항을 보려면 앱을 재시작하세요.
bkpctl_import_failed	Failed to import backup: %1$s	バックアップのインポートに失敗しました：%1$s	백업 가져오기 실패: %1$s
setvm_load_failed	Failed to load settings: %1$s	設定の読み込みに失敗しました：%1$s	설정 로드 실패: %1$s
setscreen_version_unknown	Unknown	不明	알 수 없음
setscreen_title_provider	Model service config	モデルサービス設定	모델 서비스 구성
setscreen_title_imagegen	Image gen settings	生図設定	이미지 생성 설정
setscreen_title_settings	Settings	設定	설정
setscreen_back_cd	Back	戻る	뒤로
setscreen_this_config	this config	この設定	이 구성
setscreen_delete_config_title	Delete custom config	カスタム設定を削除	사용자 지정 구성 삭제
setscreen_delete_config_message	Delete "%1$s"? Its base URL and API key will be cleared. This cannot be undone.	「%1$s」を削除しますか？この設定のインターフェースアドレスとAPIキーは消去され、元に戻せません。	"%1$s"을(를) 삭제하시겠습니까? 이 구성의 엔드포인트 주소와 API 키가 지워지며 되돌릴 수 없습니다.
setscreen_delete	Delete	削除	삭제
setscreen_cancel	Cancel	キャンセル	취소
wblist_title	World Books	ワールドブック	월드북
wblist_ai_create	AI Create	AI作成	AI 생성
wblist_settings_cd	World book settings	ワールドブック設定	월드북 설정
wblist_import_cd	Import world book	ワールドブックをインポート	월드북 가져오기
wblist_new	New	新規	새로 만들기
wblist_empty	No world books yet	ワールドブックがありません	월드북이 없습니다
wblist_empty_hint	Create a world book to manage background lore entries	ワールドブックを作成して背景設定のエントリを管理しましょう	월드북을 만들어 배경 설정 항목을 관리하세요
wblist_create_title	New world book	新規ワールドブック	새 월드북
wblist_name_label	World book name	ワールドブック名	월드북 이름
wblist_create	Create	作成	만들기
wblist_cancel	Cancel	キャンセル	취소
wblist_settings_title	World book & prompt settings	ワールドブックとプロンプト設定	월드북 및 프롬프트 설정
wblist_recursive_scan	Recursive scan	再帰スキャン	재귀 스캔
wblist_recursive_desc	Activated entry content participates in further keyword matching (ST's world_info_recursive). Entries with delayed recursion (delayUntilRecursion) only trigger when this is on.	有効化されたエントリの内容がさらにキーワードマッチに参加します（STのworld_info_recursive）。遅延再帰（delayUntilRecursion）のエントリは、この設定がオンのときにのみ発火します。	활성화된 항목 내용이 추가 키워드 매칭에 참여합니다(ST의 world_info_recursive). 지연 재귀(delayUntilRecursion) 항목은 이 설정이 켜져 있어야 발동합니다.
wblist_max_recursion_steps	Max recursion steps (0 = unlimited)	最大再帰ステップ数（0 = 無制限）	최대 재귀 단계 수(0 = 무제한)
wblist_scan_depth	Scan depth (last N messages participate in matching)	スキャン深度（直近N件のメッセージがマッチ対象）	스캔 깊이(최근 N개 메시지가 매칭에 참여)
wblist_char_prompt_section	Character card prompts	キャラカードプロンプト	캐릭터 카드 프롬프트
wblist_prefer_char_prompt	Use character card system prompt	キャラカードのシステムプロンプトを使用	캐릭터 카드 시스템 프롬프트 사용
wblist_prefer_char_prompt_desc	When on, the card's data.system_prompt replaces the default system prompt (ST's prefer_character_prompt).	オンにすると、キャラカードのdata.system_promptがデフォルトのシステムプロンプトを置き換えます（STのprefer_character_prompt）。	켜면 캐릭터 카드의 data.system_prompt가 기본 시스템 프롬프트를 대체합니다(ST의 prefer_character_prompt).
wblist_prefer_char_jailbreak	Use character card jailbreak prompt	キャラカードの jailbreak プロンプトを使用	캐릭터 카드 jailbreak 프롬프트 사용
wblist_prefer_char_jailbreak_desc	When on, the card's data.post_history_instructions is injected at the end of the chat (ST's prefer_character_jailbreak).	オンにすると、キャラカードのdata.post_history_instructionsをチャット末尾に注入します（STのprefer_character_jailbreak）。	켜면 캐릭터 카드의 data.post_history_instructions가 채팅 끝에 주입됩니다(ST의 prefer_character_jailbreak).
wblist_instruct_section	Instruct mode	Instructモード	Instruct 모드
wblist_instruct_enabled	Enable Instruct formatting	Instructフォーマットを有効化	Instruct 포맷 활성화
wblist_instruct_enabled_desc	Formats the message sequence for completion-style APIs (textgen/kobold etc.). Chat completion APIs do not need this.	補完型API（textgen/koboldなど）向けにメッセージ列をフォーマットします。チャット補完APIでは不要です。	완성형 API(textgen/kobold 등)를 위해 메시지 시퀀스를 포맷합니다. 채팅 완성 API에는 필요 없습니다.
wblist_instruct_preset	Instruct preset	Instructプリセット	Instruct 프리셋
wblist_instruct_preset_default	Current: built-in ChatML	現在：内蔵ChatML	현재: 내장 ChatML
wblist_instruct_preset_current	Current: %1$s	現在：%1$s	현재: %1$s
wblist_instruct_preset_builtin	Built-in ChatML	内蔵ChatML	내장 ChatML
wblist_save	Save	保存	저장
wblist_read_file_failed	Could not read the selected file	選択したファイルを読み取れませんでした	선택한 파일을 읽을 수 없습니다
wblist_import_failed	Failed to import world book: %1$s	ワールドブックのインポートに失敗しました：%1$s	월드북 가져오기 실패: %1$s
wblist_entry_count	%1$d entries	%1$d件のエントリ	항목 %1$d개
wblist_ai_edit_cd	AI edit world book	ワールドブックをAI編集	월드북 AI 편집
wblist_delete_cd	Delete world book	ワールドブックを削除	월드북 삭제
wblist_delete_title	Delete world book	ワールドブックを削除	월드북 삭제
wblist_delete_confirm	Delete world book "%1$s"? All of its entries will be removed.	ワールドブック「%1$s」を削除しますか？そのすべてのエントリが削除されます。	월드북 "%1$s"을(를) 삭제하시겠습니까? 모든 항목이 삭제됩니다.
wblist_delete	Delete	削除	삭제
wbedit_new_entry	New entry	新規エントリ	새 항목
wbedit_edit_entry	Edit entry	エントリを編集	항목 편집
wbedit_back_cd	Back	戻る	뒤로
wbedit_save_entry_cd	Save entry	エントリを保存	항목 저장
wbedit_back_to_book	Back to world book	ワールドブックに戻る	월드북으로 돌아가기
wbedit_field_keys	Keywords (comma-separated)	キーワード（カンマ区切り）	키워드(쉼표로 구분)
wbedit_field_secondary_keys	Secondary keywords (comma-separated)	二次キーワード（カンマ区切り）	보조 키워드(쉼표로 구분)
wbedit_field_content	Content	内容	내용
wbedit_enabled	Enabled	有効	활성화
wbedit_selective	Selective trigger	選択的トリガー	선택적 트리거
wbedit_constant	Constant injection	常時注入	상시 주입
wbedit_priority	Priority	優先度	우선순위
wbedit_insertion_order	Insertion order	挿入順序	삽입 순서
wbedit_depth	Depth	深度	깊이
wbedit_position	Insertion position	注入位置	주입 위치
wbedit_position_before_char	Before character	キャラクターの前	캐릭터 앞
wbedit_position_after_char	After character	キャラクターの後	캐릭터 뒤
wbedit_position_before_an	Before author's note	作者ノートの前	작가 노트 앞
wbedit_position_after_an	After author's note	作者ノートの後	작가 노트 뒤
wbedit_position_at_depth	@Depth	@深度	@깊이
wbedit_position_before_example	Before example dialogs	例会話の前	예시 대화 앞
wbedit_position_after_example	After example dialogs	例会話の後	예시 대화 뒤
wbedit_position_slot	Slot	スロット	슬롯
wbedit_selective_logic	Selective logic	選択的ロジック	선택적 로직
wbedit_logic_and_any	AND any matches	AND いずれか一致	AND 하나라도 일치
wbedit_logic_not_any	NOT any unmatched	NOT いずれか不一致	NOT 하나라도 불일치
wbedit_logic_not_all	NOT all unmatched	NOT すべて不一致	NOT 모두 불일치
wbedit_logic_and_all	AND all match	AND すべて一致	AND 모두 일치
wbedit_role	Role	ロール	역할
wbedit_role_system	System	System	System
wbedit_role_user	User	User	User
wbedit_role_assistant	Assistant	Assistant	Assistant
wbedit_use_probability	Probability trigger	確率トリガー	확률 트리거
wbedit_probability	Probability (0-100)	確率 (0-100)	확률 (0-100)
wbedit_match_whole_words	Match whole words	全語一致	전체 단어 일치
wbedit_use_regex	Regex matching	正規表現マッチ	정규식 매칭
wbedit_case_sensitive	Case sensitive	大文字小文字を区別	대소문자 구분
wbedit_exclude_recursion	Exclude from recursion (not fed into recursive text)	再帰から除外（再帰テキストに供給しない）	재귀 제외(재귀 텍스트에 공급하지 않음)
wbedit_prevent_recursion	Prevent recursion (does not trigger further activation)	再帰を防止（後続の活性化を誘発しない）	재귀 방지(이후 활성화 유발하지 않음)
wbedit_delay_recursion	Delay until recursion	再帰まで遅延	재귀까지 지연
wbedit_delay_recursion_level	Recursion level (the round from which it can activate; requires recursive scan)	再帰レベル（何回目の再帰から有効になるか。再帰スキャンの有効化が必要）	재귀 단계(몇 번째 재귀부터 활성화 가능, 재귀 스캔 필요)
wbedit_comment	Comment	備考	메모
wbedit_cancel	Cancel	キャンセル	취소
wbedit_save_entry	Save entry	エントリを保存	항목 저장
wbdetail_title	World Book	ワールドブック	월드북
wbdetail_back_cd	Back	戻る	뒤로
wbdetail_search_close_cd	Close search	検索を閉じる	검색 닫기
wbdetail_search_cd	Search entries	エントリを検索	항목 검색
wbdetail_save_book_cd	Save world book	ワールドブックを保存	월드북 저장
wbdetail_new_entry	New entry	新規エントリ	새 항목
wbdetail_search_placeholder	Search entries by keyword or content...	キーワードや内容でエントリを検索...	키워드나 내용으로 항목 검색...
wbdetail_clear_cd	Clear	クリア	지우기
wbdetail_back_to_list	Back to world book list	ワールドブック一覧に戻る	월드북 목록으로 돌아가기
wbdetail_no_match	No matching entries	一致するエントリがありません	일치하는 항목이 없습니다
wbdetail_empty	This world book has no entries	このワールドブックにはエントリがありません	이 월드북에는 항목이 없습니다
wbdetail_empty_hint	Tap "New entry" to add the first lore	「新規エントリ」をタップして最初の設定を追加しましょう	"새 항목"을 눌러 첫 설정을 추가하세요
wbdetail_unnamed_entry	Unnamed entry	名称未エントリ	이름 없는 항목
wbdetail_more_keys	+%1$d	+%1$d	+%1$d
wbdetail_priority_badge	P:%1$d	P:%1$d	P:%1$d
wbdetail_depth_badge	D:%1$d	D:%1$d	D:%1$d
wbdetail_badge_constant	Constant	常駐	상시
wbdetail_badge_selective	Selective	選択	선택
wbdetail_delete_entry_cd	Delete entry	エントリを削除	항목 삭제
wbdetail_delete_entry_title	Delete entry	エントリを削除	항목 삭제
wbdetail_delete_entry_confirm	Delete this entry?	このエントリを削除しますか？	이 항목을 삭제하시겠습니까?
wbdetail_delete	Delete	削除	삭제
wbdetail_cancel	Cancel	キャンセル	취소
wbvm_load_failed	Failed to load world books: %1$s	ワールドブックの読み込みに失敗しました：%1$s	월드북 로드 실패: %1$s
wbvm_save_settings_failed	Failed to save world book settings: %1$s	ワールドブック設定の保存に失敗しました：%1$s	월드북 설정 저장 실패: %1$s
wbvm_save_prompt_settings_failed	Failed to save prompt settings: %1$s	プロンプト設定の保存に失敗しました：%1$s	프롬프트 설정 저장 실패: %1$s
wbvm_toggle_failed	Failed to update world book toggle: %1$s	ワールドブックのスイッチ更新に失敗しました：%1$s	월드북 스위치 업데이트 실패: %1$s
wbvm_book_not_found	World book "%1$s" not found or unreadable.	ワールドブック「%1$s」が見つからないか、読み取れません。	월드북 "%1$s"을(를) 찾을 수 없거나 읽을 수 없습니다.
wbvm_book_saved	World book saved.	ワールドブックを保存しました。	월드북을 저장했습니다.
wbvm_save_failed	Failed to save world book: %1$s	ワールドブックの保存に失敗しました：%1$s	월드북 저장 실패: %1$s
wbvm_book_created	World book "%1$s" created.	ワールドブック「%1$s」を作成しました。	월드북 "%1$s"을(를) 만들었습니다.
wbvm_create_failed	Failed to create world book: %1$s	ワールドブックの作成に失敗しました：%1$s	월드북 생성 실패: %1$s
wbvm_book_imported	World book "%1$s" imported.	ワールドブック「%1$s」をインポートしました。	월드북 "%1$s"을(를) 가져왔습니다.
wbvm_import_failed	Failed to import world book: %1$s	ワールドブックのインポートに失敗しました：%1$s	월드북 가져오기 실패: %1$s
wbvm_book_deleted	World book deleted.	ワールドブックを削除しました。	월드북을 삭제했습니다.
wbvm_delete_failed	Failed to delete world book: %1$s	ワールドブックの削除に失敗しました：%1$s	월드북 삭제 실패: %1$s
wbvm_entry_not_found	Entry not found: %1$s	エントリが見つかりません：%1$s	항목을 찾을 수 없음: %1$s
wbvm_entry_missing	World book entry "%1$s" not found. It may have been deleted.	ワールドブックエントリ「%1$s」が見つかりません。削除された可能性があります。	월드북 항목 "%1$s"을(를) 찾을 수 없습니다. 삭제되었을 수 있습니다.
wbvm_load_entry_failed	Failed to load world book entry: %1$s	ワールドブックエントリの読み込みに失敗しました：%1$s	월드북 항목 로드 실패: %1$s
wbvm_save_context_changed	Save failed: the world book context has changed. Go back and reopen the entry.	保存に失敗しました：ワールドブックのコンテキストが変わりました。戻ってエントリを開き直してください。	저장 실패: 월드북 컨텍스트가 변경되었습니다. 돌아가서 항목을 다시 여세요.
wbvm_delete_context_changed	Delete failed: the world book context has changed. Reopen the entry.	削除に失敗しました：ワールドブックのコンテキストが変わりました。エントリを開き直してください。	삭제 실패: 월드북 컨텍스트가 변경되었습니다. 항목을 다시 여세요.
extcompat_ejs_title	EJS prompt template settings	EJSプロンプトテンプレート設定	EJS 프롬프트 템플릿 설정
extcompat_ejs_subtitle	Controls how EJS templates (<%= ... %>) behave in prompt generation and message rendering.	プロンプト生成とメッセージ描画におけるEJSテンプレート（<%= ... %>）の動作を制御します。	프롬프트 생성과 메시지 렌더링에서 EJS 템플릿(<%= ... %>)의 동작을 제어합니다.
extcompat_section_basic	Basic	基本	기본
extcompat_ejs_enable_title	Enable EJS template processing	EJSテンプレート処理を有効化	EJS 템플릿 처리 활성화
extcompat_ejs_enable_subtitle	Master switch; all template processing is skipped when off	マスタースイッチ。オフにするとすべてのテンプレート処理をスキップ합니다	마스터 스위치, 끄면 모든 템플릿 처리를 건너뜁니다
extcompat_ejs_debug_title	Debug mode	デバッグモード	디버그 모드
extcompat_ejs_debug_subtitle	Output debug logs	デバッグログを出力	디버그 로그 출력
extcompat_section_generate_stage	Generation stage	生成ステージ	생성 단계
extcompat_ejs_generate_title	Pre-generation processing	生成前処理	생성 전 처리
extcompat_ejs_generate_subtitle	Process EJS in prompts before sending to the LLM	LLMに送信する前にプロンプト内のEJSを処理합니다	LLM에 보내기 전에 프롬프트의 EJS 처리
extcompat_ejs_generate_loader_title	World book [GENERATE:BEFORE]	ワールドブック [GENERATE:BEFORE]	월드북 [GENERATE:BEFORE]
extcompat_ejs_generate_loader_subtitle	Process GENERATE directives in world book entries	ワールドブックエントリ内のGENERATE指示を処理します	월드북 항목의 GENERATE 지시 처리
extcompat_ejs_inject_loader_title	@INJECT injection loader	@INJECT注入ローダー	@INJECT 주입 로더
extcompat_ejs_inject_loader_subtitle	Process @INJECT prompt injection directives	@INJECTプロンプト注入指示を処理します	@INJECT 프롬프트 주입 지시 처리
extcompat_ejs_preload_title	Preload world book	ワールドブックをプリロード	월드북 사전 로드
extcompat_ejs_preload_subtitle	Preload world book entries before generation	生成前にワールドブックエントリをプリロードします	생성 전에 월드북 항목 사전 로드
extcompat_section_render_stage	Render stage	描画ステージ	렌더링 단계
extcompat_ejs_render_title	Post-render processing	描画後処理	렌더링 후 처리
extcompat_ejs_render_subtitle	Process EJS templates after receiving the LLM response	LLMの応答受信後にEJSテンプレートを処理します	LLM 응답 수신 후 EJS 템플릿 처리
extcompat_ejs_render_loader_title	Render loader	描画ローダー	렌더링 로더
extcompat_ejs_render_loader_subtitle	Run loader logic during rendering	描画時にローダーのロジックを実行します	렌더링 시 로더 로직 실행
extcompat_ejs_code_blocks_title	Code block processing	コードブロック処理	코드 블록 처리
extcompat_ejs_code_blocks_subtitle	Process EJS inside code blocks	コードブロック内のEJSを処理します	코드 블록 내 EJS 처리
extcompat_ejs_raw_eval_title	Permanent evaluation	恒久評価	영구 평가
extcompat_ejs_raw_eval_subtitle	Permanently evaluate variables on every message	メッセージごとに変数を恒久的に評価します	메시지마다 변수를 영구 평가
extcompat_ejs_filter_title	Message filtering	メッセージフィルタ	메시지 필터
extcompat_ejs_filter_subtitle	Filter message content	メッセージ内容をフィルタします	메시지 내용 필터
extcompat_section_advanced	Advanced	高度	고급
extcompat_ejs_sandbox_title	Sandbox mode	サンドボックスモード	샌드박스 모드
extcompat_ejs_sandbox_subtitle	Execute EJS code in a sandbox	EJSコードをサンドボックスで実行します	EJS 코드를 샌드박스에서 실행
extcompat_ejs_autosave_title	Auto-save variables	変数の自動保存	변수 자동 저장
extcompat_ejs_autosave_subtitle	Automatically save EJS variable changes	EJS変数の変更を自動保存します	EJS 변수 변경 자동 저장
extcompat_ejs_no_context_title	Disable context	コンテキストを無効化	컨텍스트 비활성화
extcompat_ejs_no_context_subtitle	Disable context variable injection	コンテキスト変数の注入を無効化します	컨텍스트 변수 주입 비활성화
extcompat_ejs_invert_title	Invert logic	ロジックを反転	로직 반전
extcompat_ejs_invert_subtitle	Invert world book activation logic	ワールドブックの活性化ロジックを反転します	월드북 활성화 로직 반전
extcompat_ejs_compile_workers_title	Compile workers	コンパイルWorker	컴파일 워커
extcompat_ejs_compile_workers_subtitle	Compile templates using Web Workers	Web Workerでテンプレートをコンパイル합니다	Web Worker로 템플릿 컴파일
extcompat_ejs_code_editor_title	Code editor	コードエディタ	코드 에디터
extcompat_ejs_code_editor_subtitle	Enable the code editor UI	コードエディタUIを有効化します	코드 에디터 UI 활성화
extcompat_depth_limit	Depth limit: %1$s	深度制限: %1$s	깊이 제한: %1$s
extcompat_depth_unlimited	Unlimited	無制限	무제한
extcompat_reset_default	Reset to defaults	デフォルトに戻す	기본값으로 재설정
extcompat_done	Done	完了	완료
extcompat_th_title	Tavern Helper settings	酒館助手設定	술관 도우미 설정
extcompat_th_subtitle	Controls the Tavern Helper compatibility layer, including audio, optimization and rendering options.	酒館助手互換レイヤーの動作（音声・最適化・描画オプションなど）を制御します。	술관 도우미 호환 레이어의 동작(오디오, 최적화, 렌더링 옵션 등)을 제어합니다.
extcompat_section_audio	Audio	オーディオ	오디오
